5818,ﾌﾟﾛﾒﾄﾘﾝ水和剤,ｹﾞｻﾞｶﾞｰﾄﾞ50,日本化薬株式会社,ﾌﾟﾛﾒﾄﾘﾝ,ﾌﾟﾛﾒﾄﾘﾝ,50.00%,1,除草剤,水和剤,6/22/1963,6/21/2017
5820,CAT粒剤,日産ｼﾏｼﾞﾝ粒剤1,日産化学工業株式会社,CAT,CAT,1.00%,1,除草剤,粒剤,6/14/1963,6/13/2017
5823,ｸﾏﾘﾝ系粒剤,固形ﾗﾃﾐﾝ,大塚薬品工業株式会社,ﾜﾙﾌｧﾘﾝ,ｸﾏﾘﾝ系,0.03%,1,殺そ剤,粒剤,6/14/1963,6/13/2017
5883,石灰窒素,ｸﾆ印石灰窒素50,日本ｶｰﾊﾞｲﾄﾞ工業株式会社,石灰窒素,石灰窒素,50.00%,1,その他,その他,11/1/1963,10/31/2017
5884,石灰窒素,軍配印石灰窒素50,ﾃﾞﾝｶ株式会社,石灰窒素,石灰窒素,50.00%,1,その他,その他,11/1/1963,10/31/2017
5905,生石灰,ﾔﾏﾆ印ﾎﾞﾙﾄﾞｰ液用生石灰,新中石灰工業株式会社,生石灰,生石灰,95.00%,1,その他,その他,12/16/1963,12/15/2017
6004,ｼﾞﾍﾞﾚﾘﾝ水溶剤,ｼﾞﾍﾞﾚﾘﾝ明治,Meiji Seika ﾌｧﾙﾏ株式会社,ｼﾞﾍﾞﾚﾘﾝ,ｼﾞﾍﾞﾚﾘﾝ,3.10%,1,植物成長調整剤,水溶剤,2/28/1964,2/27/2018
6005,ｼﾞﾍﾞﾚﾘﾝ液剤,ｼﾞﾍﾞﾚﾘﾝ明治液剤,Meiji Seika ﾌｧﾙﾏ株式会社,ｼﾞﾍﾞﾚﾘﾝ,ｼﾞﾍﾞﾚﾘﾝ,0.50%,1,植物成長調整剤,液剤,2/28/1964,2/27/2018
6006,ｼﾞﾍﾞﾚﾘﾝ液剤,ｼﾞﾍﾞﾚﾘﾝ協和液剤,協和発酵ﾊﾞｲｵ株式会社,ｼﾞﾍﾞﾚﾘﾝ,ｼﾞﾍﾞﾚﾘﾝ,0.50%,1,植物成長調整剤,液剤,2/28/1964,2/27/2018
6007,ｼﾞﾍﾞﾚﾘﾝ水溶剤,ｼﾞﾍﾞﾚﾘﾝ協和粉末,協和発酵ﾊﾞｲｵ株式会社,ｼﾞﾍﾞﾚﾘﾝ,ｼﾞﾍﾞﾚﾘﾝ,3.10%,1,植物成長調整剤,水溶剤,2/28/1964,2/27/2018
